"SARPP Regional Price Parities by state"
"RPPs: Goods (Index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00000","United States",99.5,99.5,99.4,99.4,99.4,99.4,99.4,99.4,99.3,99.3,99.2,99.2
"01000","Alabama",97.6,97.6,96.6,96.3,96.2,96.0,96.2,96.4,96.1,95.7,95.9,95.9
"02000","Alaska",102.8,102.8,102.5,101.9,101.3,101.1,101.3,101.7,101.8,102.2,102.3,102.3
"04000","Arizona",101.2,101.0,100.6,99.4,98.6,98.1,97.5,96.8,95.7,94.8,94.9,94.8
"05000","Arkansas",96.6,96.7,95.7,95.2,94.9,94.6,94.7,94.9,94.8,94.6,94.7,94.7
"06000","California",103.5,103.2,103.0,103.0,103.1,103.7,103.7,103.8,103.9,104.9,104.8,104.9
"08000","Colorado",101.7,102.0,101.9,101.4,100.2,99.9,99.6,99.4,98.2,97.4,97.2,97.1
"09000","Connecticut",105.2,104.8,105.0,104.6,104.5,104.6,104.2,103.8,103.3,102.6,102.4,102.4
"10000","Delaware",102.1,102.4,102.4,101.3,100.3,99.7,99.1,98.9,98.7,98.1,98.3,98.3
"11000","District of Columbia",106.5,107.0,107.1,107.8,107.5,106.0,105.9,106.0,104.5,104.1,105.1,105.2
"12000","Florida",98.9,98.8,98.3,98.2,98.3,98.2,98.2,98.4,98.2,97.8,97.8,97.8
"13000","Georgia",97.9,97.8,97.2,96.8,96.7,96.7,96.9,97.0,97.1,96.6,96.8,96.8
"15000","Hawaii",106.1,106.8,107.1,108.5,109.3,109.3,109.5,110.5,112.1,112.8,111.8,111.8
"16000","Idaho",98.3,98.5,98.7,98.5,98.1,98.0,98.2,98.5,97.1,96.3,96.2,96.2
"17000","Illinois",101.4,101.3,101.6,101.4,101.0,100.1,99.0,98.5,98.7,99.1,99.0,99.0
"18000","Indiana",96.0,96.5,96.5,97.0,97.3,97.2,96.9,96.3,96.4,96.1,96.1,96.1
"19000","Iowa",93.1,93.6,93.7,94.5,95.1,95.3,95.4,95.1,95.0,95.1,94.9,94.9
"20000","Kansas",95.2,95.2,94.7,95.5,95.7,95.9,95.9,95.7,95.4,95.4,95.2,95.1
"21000","Kentucky",96.3,96.3,95.3,94.8,94.5,94.2,94.4,94.6,94.6,94.7,94.9,94.8
"22000","Louisiana",97.8,97.8,96.8,96.6,96.5,96.3,96.5,96.7,96.4,95.8,95.8,95.8
"23000","Maine",98.5,98.4,98.3,98.1,98.5,98.7,98.4,98.5,99.2,99.5,99.4,99.4
"24000","Maryland",103.0,102.9,103.5,103.9,103.9,103.4,103.5,103.6,103.1,102.5,102.4,102.4
"25000","Massachusetts",98.9,98.3,98.1,99.2,100.3,100.6,101.2,101.9,102.3,102.9,102.8,102.9
"26000","Michigan",97.1,97.6,97.7,98.0,98.0,97.9,97.4,97.4,97.4,96.9,96.9,96.9
"27000","Minnesota",97.2,97.7,98.4,99.3,100.1,100.8,100.7,101.1,101.9,102.1,101.8,101.7
"28000","Mississippi",96.1,96.1,95.1,94.6,94.2,93.8,93.9,94.1,94.1,94.2,94.5,94.4
"29000","Missouri",92.8,92.7,92.9,94.0,94.9,95.2,95.3,95.5,95.6,96.0,95.6,95.5
"30000","Montana",99.1,99.0,99.0,98.6,98.4,98.4,99.0,99.7,98.0,97.0,97.0,97.0
"31000","Nebraska",93.8,94.4,94.4,95.2,95.6,95.8,95.8,95.4,95.1,95.1,94.9,94.9
"32000","Nevada",96.4,97.2,97.5,97.9,97.3,96.8,96.1,96.0,94.4,93.7,93.9,93.9
"33000","New Hampshire",98.9,98.4,98.1,98.9,99.8,100.1,100.4,100.9,101.3,101.5,101.4,101.4
"34000","New Jersey",100.8,100.5,101.4,102.1,102.3,102.6,102.5,101.9,102.4,103.3,103.6,103.6
"35000","New Mexico",97.2,97.7,98.0,98.2,97.6,97.3,96.9,97.0,95.6,94.8,94.9,94.8
"36000","New York",107.0,107.1,108.1,108.0,108.5,108.7,108.6,108.4,108.7,108.4,108.2,108.2
"37000","North Carolina",97.6,97.6,96.7,96.4,96.3,96.1,96.3,96.5,96.3,95.7,95.8,95.8
"38000","North Dakota",93.0,93.5,93.5,94.4,94.9,95.1,95.2,95.0,95.0,95.1,94.9,94.9
"39000","Ohio",95.0,95.1,95.0,95.5,95.5,95.9,96.2,95.9,96.0,95.8,95.8,95.8
"40000","Oklahoma",97.2,97.2,96.2,95.8,95.6,95.3,95.5,95.7,95.5,95.2,95.2,95.2
"41000","Oregon",97.6,97.7,98.2,98.4,98.7,98.6,99.0,99.2,100.4,101.9,101.8,101.8
