GeoName,Year,In_Mig,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,per_cap_per_inc,per_inc,pop,Tot_emp,Out_Mig,Net_Mig,GeoAbb
Alabama,2011,114696,0,1677,1642,3389,348,2921,232,399,20063,19346,137,6991,1434,30,842,2686,2413,626,1606,112,2797,327,3945,1086,317,770,257,64,1996,119,1108,2697,284,2596,973,169,1075,0,2036,90,8710,7973,300,66,4935,2621,65,417,9,34991,167942.8,4799642,2497933,105445,9251,AL
Alabama,2012,102969,0,962,660,3077,1386,284,42,162,11244,19920,493,2722,1347,345,865,2495,3104,67,1513,334,2298,752,4952,1555,101,151,1009,161,1702,459,2709,5133,228,1411,194,200,1837,0,2811,518,10539,7468,579,0,3170,1034,128,760,88,35877,172804.1,4816632,2503678,107505,-4536,AL
Alabama,2013,102358,0,1077,1108,4918,698,439,0,10,11518,17867,222,3126,1303,699,566,2498,1429,52,960,972,2801,487,7706,1501,537,173,569,0,743,1838,2735,5663,148,3678,669,228,1488,121,1795,318,8806,4413,1881,19,3303,589,109,296,282,36099,174415.4,4831586,2523338,96054,6304,AL
Alabama,2014,105749,0,837,1450,5402,2019,497,116,123,14403,20220,508,2263,2065,231,496,3718,2353,0,1318,601,2559,264,5473,2347,0,284,617,250,635,570,2283,2418,0,4577,1218,194,1444,0,2255,0,7770,6422,599,179,1925,1143,1162,234,307,37256,180457.7,4843737,2551872,110542,-4793,AL
Alabama,2015,113710,0,1865,2329,3397,1927,894,77,521,15755,27433,0,2400,1184,478,1277,1365,1566,97,1435,446,2540,193,7442,1174,120,339,539,166,193,773,2061,3974,1162,1513,725,593,2690,43,1968,103,7206,6469,362,173,4772,871,445,491,164,38871,188711.4,4854803,2587451,100290,13420,AL
Alabama,2016,119949,0,1022,495,6611,2177,566,0,97,16631,23008,212,3707,1445,671,1261,1590,1508,151,1903,330,2195,122,7602,2746,294,33,254,0,812,826,3047,6419,0,2694,1169,498,1008,0,2952,52,9960,7689,525,0,3535,677,42,874,539,39509,192281.9,4866824,2619796,98287,21662,AL
Alabama,2017,111286,0,1513,517,2328,1974,336,22,378,14171,22363,118,2399,2295,627,646,2157,2308,56,801,450,1821,420,7798,544,247,167,1989,245,1103,1007,2203,4245,878,1702,877,444,1595,848,1896,96,8018,8825,998,0,4277,1289,1070,1121,104,41000,199999.8,4877989,2649260,99680,11606,AL
Alabama,2018,108255,0,1915,1051,2659,1672,747,826,0,14298,18433,0,3310,1874,704,357,4216,2837,0,493,445,2231,915,7653,1851,76,756,97,0,1213,58,3226,2224,0,1299,931,0,1771,0,1218,281,12228,5719,79,0,5221,2125,176,996,74,42676,208752.7,4891628,2691497,97192,11063,AL
Alabama,2019,103007,0,904,813,3690,2042,705,0,248,15519,13993,0,1962,3451,722,1212,1500,3789,140,808,1452,1893,41,4377,864,151,386,771,176,599,53,1996,3597,17,2364,541,245,2336,257,2448,0,9970,8405,2083,0,2876,1883,421,1307,0,44102,216449,4907965,2735740,97942,5065,AL
Arizona,2011,215677,833,0,1066,49635,10189,1875,0,389,3732,2206,2190,10035,5855,4526,1708,2134,844,0,1918,743,9396,3297,1226,3872,2431,1393,8756,228,3379,4610,3880,2548,1159,4682,3219,4613,3436,72,1774,1657,1680,12688,10577,0,2233,13940,70,6473,2510,34968,226365.3,6473416,3239045,206449,9228,AZ
