"SAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00000","United States","","Income by place of residence","","","","","","","","",""
"00000","United States","10","Personal income (millions of dollars)",13315478.0,13998383.0,14175503.0,14982715.0,15717140.0,16151881.0,16937582.0,17839255.0,18542262.0
"00000","United States","20","Population (persons) 3/",311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953
"00000","United States","30","Per capita personal income (dollars) 4/",42735,44598,44851,47058,49003,49995,52096,54581,56474
"00000","United States","","Employment (number of jobs)","","","","","","","","",""
"00000","United States","7010","Total employment",176091700,178979700,182325100,186233800,190325800,193378900,196337100,200284200,203809500
"01000","Alabama","","Income by place of residence","","","","","","","","",""
"01000","Alabama","10","Personal income (millions of dollars)",167942.8,172804.1,174415.4,180457.7,188711.4,192281.9,199999.8,208752.7,216449.0
"01000","Alabama","20","Population (persons) 3/",4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965
"01000","Alabama","30","Per capita personal income (dollars) 4/",34991,35877,36099,37256,38871,39509,41000,42676,44102
"01000","Alabama","","Employment (number of jobs)","","","","","","","","",""
"01000","Alabama","7010","Total employment",2497933,2503678,2523338,2551872,2587451,2619796,2649260,2691497,2735740
"02000","Alaska *","","Income by place of residence","","","","","","","","",""
"02000","Alaska *","10","Personal income (millions of dollars)",37827.8,39169.2,38859.5,41110.4,42505.8,41745.6,42454.4,44369.6,45945.1
"02000","Alaska *","20","Population (persons) 3/",722349,730810,737626,737075,738430,742575,740983,736624,733603
"02000","Alaska *","30","Per capita personal income (dollars) 4/",52368,53597,52682,55775,57562,56217,57295,60234,62629
"02000","Alaska *","","Employment (number of jobs)","","","","","","","","",""
"02000","Alaska *","7010","Total employment",450364,459222,461110,461327,461649,457524,455472,455008,459788
"04000","Arizona","","Income by place of residence","","","","","","","","",""
"04000","Arizona","10","Personal income (millions of dollars)",226365.3,236846.1,242856.0,257410.4,271258.0,283199.3,300007.5,319226.3,335243.1
"04000","Arizona","20","Population (persons) 3/",6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843
"04000","Arizona","30","Per capita personal income (dollars) 4/",34968,36125,36604,38232,39699,40779,42566,44558,45975
"04000","Arizona","","Employment (number of jobs)","","","","","","","","",""
"04000","Arizona","7010","Total employment",3239045,3295537,3371219,3448173,3547627,3645936,3740960,3853621,3969347
"05000","Arkansas","","Income by place of residence","","","","","","","","",""
"05000","Arkansas","10","Personal income (millions of dollars)",99571.5,106984.7,107240.7,113545.5,117671.8,120748.2,125025.7,130397.5,134682.7
"05000","Arkansas","20","Population (persons) 3/",2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985
"05000","Arkansas","30","Per capita personal income (dollars) 4/",33856,36231,36224,38247,39491,40360,41622,43290,44582
"05000","Arkansas","","Employment (number of jobs)","","","","","","","","",""
"05000","Arkansas","7010","Total employment",1561948,1565142,1569249,1587414,1610805,1629497,1640411,1657511,1673743
"06000","California","","Income by place of residence","","","","","","","","",""
"06000","California","10","Personal income (millions of dollars)",1737940.0,1852397.5,1886376.6,2021035.6,2172930.2,2273557.5,2383130.5,2514503.4,2632279.8
"06000","California","20","Population (persons) 3/",37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610
"06000","California","30","Per capita personal income (dollars) 4/",46177,48819,49312,52376,55853,58074,60581,63759,66745
"06000","California","","Employment (number of jobs)","","","","","","","","",""
"06000","California","7010","Total employment",19986021,20666908,21319995,21997098,22687196,23164907,23538609,24086110,24602061
"08000","Colorado","","Income by place of residence","","","","","","","","",""
"08000","Colorado","10","Personal income (millions of dollars)",223153.2,237141.5,249281.6,271307.5,284819.6,290669.6,312045.5,335195.8,352184.7
