GeoName,county_state,variable,value,rent_ppp
Alabama,AL,2011,13.4,63.1
Arizona,AZ,2011,24.1,94.2
Arkansas,AR,2011,7.1,63.1
California,CA,2011,17.3,149.1
Colorado,CO,2011,5.5,106.5
Connecticut,CT,2011,10.1,118
Delaware,DE,2011,7.8,98.7
District of Columbia,DC,2011,10.2,153.2
Florida,FL,2011,10,106.9
Georgia,GA,2011,11.4,80.5
Idaho,ID,2011,9.6,77
Illinois,IL,2011,6.4,101.4
Indiana,IN,2011,9.1,76.9
Iowa,IA,2011,7,74.5
Kansas,KS,2011,9.3,75.3
Kentucky,KY,2011,6.5,67
Louisiana,LA,2011,8.9,76.2
Maine,ME,2011,7.2,95.4
Maryland,MD,2011,10.7,125.7
Massachusetts,MA,2011,7.7,124.4
Michigan,MI,2011,11.7,82.2
Minnesota,MN,2011,5.7,93.7
Mississippi,MS,2011,11.8,63.6
Missouri,MO,2011,10.5,74.2
Montana,MT,2011,5.2,79.2
Nebraska,NE,2011,4.3,74.6
Nevada,NV,2011,13.5,104.4
New Hampshire,NH,2011,4.6,119.1
New Jersey,NJ,2011,9.1,138
New Mexico,NM,2011,8.6,83.4
New York,NY,2011,7.6,134.7
North Carolina,NC,2011,11.3,78.7
North Dakota,ND,2011,1.4,73.7
Ohio,OH,2011,9.2,73.9
Oklahoma,OK,2011,4.4,69.3
Oregon,OR,2011,9.3,98.7
Pennsylvania,PA,2011,7.3,89
Rhode Island,RI,2011,10,105.4
South Carolina,SC,2011,10.8,76.6
South Dakota,SD,2011,6.3,64.9
Tennessee,TN,2011,7.7,74
Texas,TX,2011,14.5,88.9
Utah,UT,2011,8.2,92.1
Vermont,VT,2011,5.5,113.9
Virginia,VA,2011,7.4,113.6
Washington,WA,2011,9.7,110.1
West Virginia,WV,2011,8.6,63.1
Wisconsin,WI,2011,8.1,88
Wyoming,WY,2011,4.8,94.2
Alabama,AL,2012,10.2,64.4
Arizona,AZ,2012,23.9,93.8
Arkansas,AR,2012,6.4,63.2
California,CA,2012,15.6,147.5
Colorado,CO,2012,5.2,106.3
Connecticut,CT,2012,9.5,118.9
Delaware,DE,2012,7.1,98.8
District of Columbia,DC,2012,9,157.2
Florida,FL,2012,9.1,104.8
Georgia,GA,2012,10,79.9
Idaho,ID,2012,8.7,78.8
Illinois,IL,2012,6,100.4
Indiana,IN,2012,7.8,75.7
Iowa,IA,2012,5.4,74.6
Kansas,KS,2012,8.4,74.9
Kentucky,KY,2012,5.4,68.2
Louisiana,LA,2012,8.1,77.6
Maine,ME,2012,6.7,99.4
Maryland,MD,2012,10,124.9
Massachusetts,MA,2012,7.2,121.2
Michigan,MI,2012,10.9,82.4
Minnesota,MN,2012,5.1,95.6
Mississippi,MS,2012,11,62.4
Missouri,MO,2012,8.8,74.1
Montana,MT,2012,4.5,80.3
Nebraska,NE,2012,3.6,76
Nevada,NV,2012,12.2,99
New Hampshire,NH,2012,4.4,123.1
New Jersey,NJ,2012,8.8,136.9
New Mexico,NM,2012,8.5,83.5
New York,NY,2012,7.9,135.1
North Carolina,NC,2012,10.9,79.3
North Dakota,ND,2012,1.1,79.2
Ohio,OH,2012,6.8,73.7
Oklahoma,OK,2012,3.4,70.4
Oregon,OR,2012,8.5,99.1
Pennsylvania,PA,2012,7.3,89.6
Rhode Island,RI,2012,9.5,101.6
South Carolina,SC,2012,9.1,76.6
South Dakota,SD,2012,6.6,70.9
Tennessee,TN,2012,6.5,75.6
Texas,TX,2012,13.4,89.4
Utah,UT,2012,5.6,92.1
Vermont,VT,2012,4.5,116.1
Virginia,VA,2012,6.5,114.5
Washington,WA,2012,9.7,110.9
West Virginia,WV,2012,8.9,63.2
Wisconsin,WI,2012,7.4,87.6
Wyoming,WY,2012,4.2,90.7
Alabama,AL,2013,9.5,63.6
Arizona,AZ,2013,25.6,91.8
Arkansas,AR,2013,6.4,63.2
California,CA,2013,13.3,145.8
Colorado,CO,2013,4.7,109.6
Connecticut,CT,2013,9,115.6
Delaware,DE,2013,6.7,98
District of Columbia,DC,2013,8.4,156.4
Florida,FL,2013,8,104.5
Georgia,GA,2013,9.2,79.6
Idaho,ID,2013,8.2,76.9
Illinois,IL,2013,7.1,100.7
Indiana,IN,2013,6.8,76.2
Iowa,IA,2013,4.5,76.1
Kansas,KS,2013,7.9,76.7
Kentucky,KY,2013,5.2,69.6
Louisiana,LA,2013,7.9,76.9
Maine,ME,2013,6.4,97.4
Maryland,MD,2013,9.6,125.9
Massachusetts,MA,2013,7.1,123.3
Michigan,MI,2013,11,82
Minnesota,MN,2013,5,95.5
Mississippi,MS,2013,10.9,64.1
Missouri,MO,2013,8.4,75.5
Montana,MT,2013,4.3,83.5
Nebraska,NE,2013,3.5,76.1
Nevada,NV,2013,10.8,97.5
New Hampshire,NH,2013,4.2,122
New Jersey,NJ,2013,7.8,134.8
New Mexico,NM,2013,8.3,83.6
New York,NY,2013,7,135.1
North Carolina,NC,2013,9.3,79.9
North Dakota,ND,2013,1.2,83.1
Ohio,OH,2013,6.3,73.8
Oklahoma,OK,2013,3.4,70.7
Oregon,OR,2013,7.4,100
Pennsylvania,PA,2013,6.5,90.4
Rhode Island,RI,2013,8.8,99.8
South Carolina,SC,2013,7.5,75.8
South Dakota,SD,2013,6.1,66.7
Tennessee,TN,2013,6.3,75.3
Texas,TX,2013,14.6,90.4
Utah,UT,2013,5,93.3
Vermont,VT,2013,4.2,113.3
Virginia,VA,2013,5.7,113.8
Washington,WA,2013,9.8,111.3
West Virginia,WV,2013,9.1,62.9
Wisconsin,WI,2013,7.2,86.2
Wyoming,WY,2013,3.6,89.9
Alabama,AL,2014,8.6,63.8
Arizona,AZ,2014,22.9,91.4
Arkansas,AR,2014,5.5,62.9
California,CA,2014,11.3,147.4
Colorado,CO,2014,3.3,111.3
Connecticut,CT,2014,7.4,116.4
Delaware,DE,2014,5.6,101.8
District of Columbia,DC,2014,7.7,161.6
Florida,FL,2014,6.9,105
Georgia,GA,2014,7.9,79
Idaho,ID,2014,6,79.6
Illinois,IL,2014,5.6,99.5
Indiana,IN,2014,5.1,75.6
Iowa,IA,2014,4.1,75.1
Kansas,KS,2014,6.8,75.6
Kentucky,KY,2014,4.5,68
Louisiana,LA,2014,7.4,77.7
Maine,ME,2014,5.1,92.7
Maryland,MD,2014,8.4,126.5
Massachusetts,MA,2014,6.1,123.1
Michigan,MI,2014,8.6,82
Minnesota,MN,2014,4.2,95.6
Mississippi,MS,2014,10.1,63.4
Missouri,MO,2014,7.6,74.5
Montana,MT,2014,3.7,83.8
Nebraska,NE,2014,3.1,75.8
Nevada,NV,2014,8.9,95.2
New Hampshire,NH,2014,3.5,119.4
New Jersey,NJ,2014,6.3,136.3
New Mexico,NM,2014,7.8,83.8
New York,NY,2014,5.7,135.8
North Carolina,NC,2014,6.6,79.8
North Dakota,ND,2014,1.2,82.4
Ohio,OH,2014,4.4,72.9
Oklahoma,OK,2014,3,71.3
Oregon,OR,2014,6.3,101.2
Pennsylvania,PA,2014,5.5,88.7
Rhode Island,RI,2014,7.2,101.7
South Carolina,SC,2014,6.1,75.7
South Dakota,SD,2014,5.7,67.3
Tennessee,TN,2014,5.3,73.7
Texas,TX,2014,12.3,91.4
Utah,UT,2014,4.2,92
Vermont,VT,2014,3.7,118.3
Virginia,VA,2014,5,112.3
Washington,WA,2014,8.4,112.7
West Virginia,WV,2014,9.4,64.4
Wisconsin,WI,2014,6.6,86.6
Wyoming,WY,2014,3.5,93.5
Alabama,AL,2015,7.6,62.8
Arizona,AZ,2015,21.8,91.4
Arkansas,AR,2015,5,63.9
California,CA,2015,9.3,147.3
Colorado,CO,2015,2.5,114.7
Connecticut,CT,2015,6.2,116.8
Delaware,DE,2015,4.9,97.5
District of Columbia,DC,2015,6.9,154.3
Florida,FL,2015,6,105.3
Georgia,GA,2015,6.6,81.1
Idaho,ID,2015,5.4,78.7
Illinois,IL,2015,5.1,99.4
Indiana,IN,2015,4.1,74.8
Iowa,IA,2015,3.9,75.3
Kansas,KS,2015,6,74.5
Kentucky,KY,2015,3.5,68.9
Louisiana,LA,2015,8.4,76.2
Maine,ME,2015,3.9,95.7
Maryland,MD,2015,7.4,123.9
Massachusetts,MA,2015,5.1,123.2
Michigan,MI,2015,6.8,81.1
Minnesota,MN,2015,3.8,95
Mississippi,MS,2015,8.3,63.1
Missouri,MO,2015,6.2,73.6
Montana,MT,2015,3.4,85.5
Nebraska,NE,2015,2.9,76.3
Nevada,NV,2015,7.3,95.2
New Hampshire,NH,2015,2.8,118.1
New Jersey,NJ,2015,5.3,132.8
New Mexico,NM,2015,7.5,81.1
New York,NY,2015,5,133.9
