"SARPP Regional Price Parities by state"
"RPPs: Services: Rents (Index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00000","United States",100.9,100.9,101.3,101.3,101.1,101.2,101.1,101.1,101.3,101.3,101.4,101.4
"01000","Alabama",63.9,63.7,63.8,63.1,64.4,63.6,63.8,62.8,63.1,63.1,61.8,61.9
"02000","Alaska",133.8,139.3,133.0,136.8,141.9,138.9,144.4,139.4,137.4,132.0,125.9,122.3
"04000","Arizona",102.6,100.3,95.1,94.2,93.8,91.8,91.4,91.4,91.7,92.9,94.3,94.1
"05000","Arkansas",62.4,61.6,63.2,63.1,63.2,63.2,62.9,63.9,63.7,62.0,60.8,60.9
"06000","California",154.6,153.7,150.9,149.1,147.5,145.8,147.4,147.3,148.2,150.5,152.6,153.6
"08000","Colorado",107.1,106.9,104.4,106.5,106.3,109.6,111.3,114.7,117.5,120.6,120.7,124.7
"09000","Connecticut",120.6,121.7,118.4,118.0,118.9,115.6,116.4,116.8,115.2,113.1,109.5,107.6
"10000","Delaware",96.9,101.8,100.6,98.7,98.8,98.0,101.8,97.5,97.1,97.0,92.4,95.0
"11000","District of Columbia",140.9,140.0,155.2,153.2,157.2,156.4,161.6,154.3,145.1,154.5,146.2,146.4
"12000","Florida",113.6,110.0,106.3,106.9,104.8,104.5,105.0,105.3,106.0,106.7,107.9,109.4
"13000","Georgia",83.1,82.8,81.3,80.5,79.9,79.6,79.0,81.1,81.1,81.5,82.1,82.6
"15000","Hawaii",167.5,164.6,159.2,157.3,159.1,159.3,159.0,163.4,157.2,156.3,149.0,152.6
"16000","Idaho",83.2,82.5,77.6,77.0,78.8,76.9,79.6,78.7,77.5,77.7,80.1,80.6
"17000","Illinois",99.4,101.6,101.4,101.4,100.4,100.7,99.5,99.4,98.4,97.4,96.5,94.7
"18000","Indiana",77.5,77.6,76.6,76.9,75.7,76.2,75.6,74.8,73.7,73.8,74.3,72.8
"19000","Iowa",72.8,73.9,73.3,74.5,74.6,76.1,75.1,75.3,75.1,75.2,74.3,73.0
"20000","Kansas",75.4,75.6,74.9,75.3,74.9,76.7,75.6,74.5,74.5,74.2,75.3,72.7
"21000","Kentucky",67.1,67.2,66.9,67.0,68.2,69.6,68.0,68.9,67.1,67.1,67.8,67.7
"22000","Louisiana",73.8,76.7,76.8,76.2,77.6,76.9,77.7,76.2,76.1,75.2,73.8,72.1
"23000","Maine",94.3,96.0,91.4,95.4,99.4,97.4,92.7,95.7,94.3,92.5,97.8,91.7
"24000","Maryland",124.5,125.7,123.5,125.7,124.9,125.9,126.5,123.9,121.8,121.7,119.2,119.3
"25000","Massachusetts",124.7,124.4,123.9,124.4,121.2,123.3,123.1,123.2,122.8,121.7,124.0,124.3
"26000","Michigan",86.3,84.5,83.2,82.2,82.4,82.0,82.0,81.1,80.9,81.0,80.2,80.2
"27000","Minnesota",94.1,96.1,94.2,93.7,95.6,95.5,95.6,95.0,95.3,96.0,94.7,96.1
"28000","Mississippi",63.2,61.9,62.9,63.6,62.4,64.1,63.4,63.1,64.9,62.7,63.2,60.0
"29000","Missouri",75.4,74.7,73.7,74.2,74.1,75.5,74.5,73.6,73.0,73.0,72.3,72.4
"30000","Montana",81.1,79.9,78.2,79.2,80.3,83.5,83.8,85.5,80.9,83.1,82.8,85.3
"31000","Nebraska",75.5,74.8,76.5,74.6,76.0,76.1,75.8,76.3,76.1,74.7,75.7,75.6
"32000","Nevada",119.0,113.4,106.9,104.4,99.0,97.5,95.2,95.2,94.6,96.7,99.3,101.8
"33000","New Hampshire",125.8,122.7,123.8,119.1,123.1,122.0,119.4,118.1,118.1,116.6,113.7,113.9
"34000","New Jersey",140.5,141.0,137.8,138.0,136.9,134.8,136.3,132.8,132.4,129.9,131.2,130.7
"35000","New Mexico",82.4,81.2,81.3,83.4,83.5,83.6,83.8,81.1,80.1,80.1,76.4,78.1
"36000","New York",131.9,133.6,133.2,134.7,135.1,135.1,135.8,133.9,133.0,131.7,131.5,130.0
"37000","North Carolina",79.1,79.7,78.0,78.7,79.3,79.9,79.8,78.7,78.5,79.7,79.0,78.8
"38000","North Dakota",70.6,72.6,73.1,73.7,79.2,83.1,82.4,86.3,82.7,78.2,80.9,75.2
"39000","Ohio",75.7,74.1,74.9,73.9,73.7,73.8,72.9,72.9,72.7,72.0,72.0,71.7
"40000","Oklahoma",67.0,69.2,69.2,69.3,70.4,70.7,71.3,72.0,70.1,69.9,70.2,68.6
"41000","Oregon",97.5,101.1,97.9,98.7,99.1,100.0,101.2,101.5,105.9,106.4,107.8,109.7
"42000","Pennsylvania",88.5,87.9,88.7,89.0,89.6,90.4,88.7,88.7,88.7,86.4,87.3,86.8
"44000","Rhode Island",106.1,106.2,103.5,105.4,101.6,99.8,101.7,100.2,100.4,94.8,95.6,101.2
"45000","South Carolina",76.0,77.5,75.3,76.6,76.6,75.8,75.7,76.3,77.1,77.2,76.8,78.2
"46000","South Dakota",67.4,62.8,65.5,64.9,70.9,66.7,67.3,68.5,69.2,70.2,69.9,69.0
"47000","Tennessee",73.5,73.7,73.7,74.0,75.6,75.3,73.7,73.7,75.7,76.2,75.1,76.8
"48000","Texas",88.2,88.2,88.4,88.9,89.4,90.4,91.4,92.9,93.7,94.4,94.5,94.9
"49000","Utah",94.9,97.2,91.8,92.1,92.1,93.3,92.0,91.1,94.2,93.9,96.1,98.2
"50000","Vermont",110.8,113.7,109.2,113.9,116.1,113.3,118.3,117.0,113.0,116.4,112.6,109.8
"51000","Virginia",110.9,113.7,113.6,113.6,114.5,113.8,112.3,111.7,109.6,108.8,108.8,107.4
"53000","Washington",110.3,113.8,110.5,110.1,110.9,111.3,112.7,113.1,116.0,119.4,123.8,122.9
"54000","West Virginia",60.1,61.7,62.5,63.1,63.2,62.9,64.4,66.0,63.1,61.4,63.0,60.9
"55000","Wisconsin",89.0,88.0,87.1,88.0,87.6,86.2,86.6,85.8,84.7,84.2,83.7,83.7
"56000","Wyoming",85.1,87.7,87.8,94.2,90.7,89.9,93.5,91.5,92.8,85.6,80.7,82.4
